link,headline,category,date,timestamp,story
https://www.thestar.com.my/business/business-news/2019/03/17/boeing-737-max-to-weigh-on-aviation-sector-in-20019-fitch-says/,"Boeing 737 MAX to weigh on aviation sector in 2019, Fitch says",Corporate News,"Sunday, 17 Mar 2019",3:24 PM MYT,"KUALA LUMPUR: The Boeing 737 MAX could be a concern throughout the aviation credit sector for much of 2019, according to Fitch Ratings. In a recent report the ratings agency said it was premature to take credit ratings actions at this time, as final conclusions about the Ethiopian Airlines and Lion Air crashes are not yet known, and there are many scenarios that could play out."
https://www.thestar.com.my/business/business-news/2019/03/15/hong-kong-seen-spending-billions-more-to-defend-currency-peg/,Hong Kong seen spending billions more to defend currency peg,Forex,"Friday, 15 Mar 2019",6:30 PM MYT,"HONG KONG: This round of currency intervention in Hong Kong is far from over.That’s according to analysts, who’re watching the interplay between the amount of money in the city’s financial system and local borrowing costs."
https://www.thestar.com.my/business/business-news/2019/03/16/china-wont-use-qe-for-economy-says-premier-li/,"China won’t use QE for economy, says Premier Li",Business News,"Saturday, 16 Mar 2019",,"BEIJING: China won’t resort to using quantitative easing (QE) or massive deficit spending in order to support the economy because such approaches would store up problems for the future, Premier Li Keqiang said.“We certainly need to take strong measures to face the downward pressures,” Li told a news conference at the close of the annual National People’s Congress session in Beijing. “We have policies in reserve for that purpose. We can use price tools such as reserve-requirement ratios, interest rates. We are not going towards monetary easing, but effectively supporting the real economy.”"
https://www.thestar.com.my/business/business-news/2019/03/16/good-and-bad-news-about-airlines-hog-the-headlines/,Good and bad news about airlines hog the headlines,Business News,"Saturday, 16 Mar 2019",,"OVER the last two weeks, we have had so much news about airlines. They include the crash of the Ethiopian Airlines’ Boeing 737, Cathay Pacific announcing its results on its latest turnaround plan and Prime Minister Tun Dr Mahathir Mohamad’s announcement on the possible closure of Malaysia Airlines Bhd (MAS).Cathay Pacific has announced its latest financial results for 2018, with the airline making a profit of 2.1% on a sales revenue of HK$111bil. In only its second year of a three-year turnaround plan, it has reversed its losses incurred in 2017. Net profit margins are thin, though, almost like the hypermarket retail business."
https://www.thestar.com.my/business/business-news/2019/03/16/interest-in-trading-chinas-distressed-debt/,Interest in trading China’s distressed debt,Business News,"Saturday, 16 Mar 2019",,"SHANGHAI: After record defaults on China’s bonds, there’s now record interest in trading the country’s distressed debt.An arm of the central bank that runs the biggest bond-trading platform last month conducted the third auction of distressed securities since July. This one had the biggest participation yet, spanning 43 institutions. While prices of the trades were published by the China Foreign Exchange Trade System (CFETS), the counterparties’ names were kept secret to maximise deals."
https://www.thestar.com.my/business/business-news/2019/03/16/breweries-mitigate-price-increase-pressure/,Breweries mitigate price increase pressure,Business News,"Saturday, 16 Mar 2019",,"THE brewery business had a spectacular 2018 but this year is turning out to be a tough one. For starters, it’s been hit by higher raw material and commodity prices."
https://www.thestar.com.my/business/business-news/2019/03/16/theresa-may-the-servant-prime-minister/,Theresa May the servant prime minister,Business News,"Saturday, 16 Mar 2019",,"Trick question: Who is in control of Brexit? Theresa May or parliament?Over two nights of voting, British lawmakers crossed their arms and said “no” to various proposals. No to the prime minister’s divorce agreement, they said on Tuesday."
https://www.thestar.com.my/business/business-news/2019/03/16/global-forex-market/,Global Forex Market,Forex,"Saturday, 16 Mar 2019",,"THE US dollar softened 0.44% to 96.8 largely owing to an improving risk appetite following the UK averting a “no-deal” exit and  progressive trade talks. The market cheered after the Trump-Xi summit is now postponed to next month, signalling strong commitments to seal a deal by both parties. The greenback was also weighed down by the slower headline and core inflation, triggering speculation that the Fed will keep rates unchanged. The former came in at 1.5% year-on-year (y-o-y) in February from 1.6% y-o-y in January while the latter eased to 2.1% y-o-y in February versus 2.2% y-o-y in January."
https://www.thestar.com.my/business/business-news/2019/03/16/eye-on-stock-ock-group/,Eye on stock: OCK Group,Markets,"Saturday, 16 Mar 2019",,"OCK Group Bhd  (code: 0172) is on an extended rally after bouncing off the lower limit of its consolidation channel.It moved above the 200-day simple moving average (SMA) to breach the  63-sen resistance, and in crossing, broke out of the consolidation phase."
https://www.thestar.com.my/business/business-news/2019/03/16/fbm-klci-keeps-to-a-tight-trading-range/,FBM KLCI keeps to a tight trading range,Markets,"Saturday, 16 Mar 2019",,"REVIEW: The FBM KLCI was held in consolidation mode following last Friday’s regional rout. While there was an Asian rebound, weak Chinese economic data for the last month kept a cap on gains.On the home front, as the index ended the previous Friday on the 1,680 support line, there was hope yet that the market would retrace towards the 1,700-point mark."
https://www.thestar.com.my/business/business-news/2019/03/16/maybe-mark-zuckerberg-------really-meant-what-he-said/,Maybe Mark Zuckerberg really meant what he said,Business News,"Saturday, 16 Mar 2019",,"WHEN it comes to Facebook Inc, Chris Cox (pic) has been very, very important to the company.He was an executive from the social network’s early years, a friend and vacation buddy of CEO Mark Zuckerberg, a touchstone of the corporate culture and the person most responsible for the “news feed,” the stream of posts in Facebook that has become a defining feature both there and for many other Internet hangouts."
https://www.thestar.com.my/business/business-news/2019/03/16/hk-to-spend-billions-more-to-defend-------currency-peg/,HK to spend billions more to defend currency peg,Business News,"Saturday, 16 Mar 2019",,"HONG KONG: This round of currency intervention in Hong Kong is far from over.That’s according to analysts, who’re watching the interplay between the amount of money in the city’s financial system and local borrowing costs."
https://www.thestar.com.my/business/business-news/2019/03/16/icapital-to-highlight-challenges-facing-malaysia/,iCapital to highlight challenges facing Malaysia,Business News,"Saturday, 16 Mar 2019",,"IF you wish to know about the country’s future in terms of politics, economics and markets in a blunt and brutal manner, then head for iCapital.biz Bhd ’s 2019 Global Investor Day: dubbed Asia’s most innovative investment event on April 13 and 14.iCapital will also be discussing about the new government and whether the political parties are simply a coalition of convenience."
https://www.thestar.com.my/business/business-news/2019/03/16/dont-let-a-china-trade-deal-kill-the-us-campaign-against-huawei/,Don’t let a China trade deal kill the US campaign against Huawei,Business News,"Saturday, 16 Mar 2019",,"THE US-led campaign against Huawei Technologies Co, China’s telecom giant, has attracted a lot of attention for the indictment of the company’s chief financial officer, Meng Wanzhou. On Thursday, Huawei’s lawyers pleaded not guilty in a New York federal court to 13 counts of fraud involving an elaborate scheme to violate US sanctions against Iran.That case is no doubt important, not only because of the possibility that Meng, the daughter of Huawei’s founder, could face incarceration. It is also a major irritant in US-China trade talks."
https://www.thestar.com.my/business/business-news/2019/03/16/heineken-out-to-maintain-fine-run/,Heineken out to maintain fine run,Corporate News,"Saturday, 16 Mar 2019",,"AS the first Malaysian managing director of brewery giant Heineken Malaysia Bhd , much will be expected of Roland Bala, the 53-year-old Sarawakian who assumed the role six months ago.His task would be to not only maintain Heineken Malaysia’s leading market share in the local beer market but also consistently try to do better than its competitor Carlsberg Brewery Malaysia Bhd . Going by Roland’s track record though, heading Heineken Malaysia through its next course seems like a role he was destined for.As a young boy, Roland had to brave the elements and environment. Growing up in a small village in Sarawak, Bala had to travel far each day for his education.That hardship and determination had served him well as he displayed the traits of not wanting to fail, when he secured his very first job.Roland, along with his university classmates, had applied for the management trainee position at British Petroleum (BP).When he found out that he was not selected for the job interview, Roland then thumbed through Yellow Pages and called up the office of BP.Intrigued by Roland’s persistence, the human resource director then granted him an interview.""I believe that my life experience has equipped me with a lot of courage, so I have no fear of these kinds of challenges. I am more concerned about how I can contribute and deliver results."" - Roland BalaAt the end of the selection process, Roland was one of the five hired to be a management trainee at BP, from a pool of 4,500 applicants.Roland spent 16 years of his career at BP.“When I look back at my career path, it has always been about taking those bold steps that made a difference.“It is important to know what you want and be daring enough to make the bold move.“At the age of 41, I decided to step out of my comfort zone and venture into the unknown, by joining the beer industry – partly for the love of beer!“But it was mainly for the opportunity to run an operating company, which provided a new challenge and I had a lot to learn,” says Roland.Roland joined Heineken in 2008, and has served the group in Singapore, Vietnam, and Cambodia, before returning to his homeland last year.Related story:Breweries mitigate price increase pressure"
https://www.thestar.com.my/business/business-news/2019/03/16/family-businesses-in-msia-lack-succession-planning/,Family businesses in Malaysia lack succession planning,Business News,"Saturday, 16 Mar 2019",,"KUALA LUMPUR: There appears to be a lack of proper succession planning among family owned businesses in Malaysia generally, said PwC Malaysia’s entrepreneurial and private business leader Fung Mei Lin.Citing results from the Associated Chinese Chambers of Commerce and Industry of Malaysia (ACCCIM) Family Business Survey Report 2018 conducted among almost 100 family businesses, Fung said that many of these businesses don’t have a written succession plan."
https://www.thestar.com.my/business/business-news/2019/03/16/new-risks-amid-global-tumult-and-trauma/,New risks amid global tumult and trauma,Business News,"Saturday, 16 Mar 2019",,"OVER the course of my 60-year career, with the exception of the 2008 financial crisis, I have not seen the public and private sectors buffeted by so much risk. Today’s new risks are not financial, but they are unprecedented in their character, not just their scope. Make no mistake: (i) politics threatens to disturb the foundations of the global system, and (ii) governments confront unprecedented business risk because of so much disruptive innovation."
https://www.thestar.com.my/business/business-news/2019/03/16/a-prestigious-degree-at-any-cost-is-nonsensical/,A prestigious degree at any cost is nonsensical,Business News,"Saturday, 16 Mar 2019",,"The college admission scandal in the United States is not really shocking to those who understand the education business.Rich parents pay thousands in bribes and donations to manipulate the entrance of their children into the top universities of that country, including Yale and Stanford."
https://www.thestar.com.my/business/business-news/2019/03/16/flying-blind-in-the-cross-atlantic-crises/,Flying blind in the cross-Atlantic crises,Business News,"Saturday, 16 Mar 2019",,"FLYING to Washington DC and London this week, news came of the tragic Ethiopian Boeing 737 Max 8 jet crash almost immediately after take-off, eerily similar to what happened just five months ago to the Lion Air Max 8 jet that also crashed after takeoff from Jakarta last year. China, Singapore, Indonesia and UK have already banned the overflight of the jet in their airspace pending further investigations, but the US delayed suspension until over 61 countries had done so, prompting one commentator to suggest that the US is losing soft power as a country that used to care about high standards of safety and concern for human life."
https://www.thestar.com.my/business/business-news/2019/03/16/120-months-old-and-still-strong/,120 months old and still strong,Business News,"Saturday, 16 Mar 2019",,"LAST week, on March 9, global markets celebrated what can now be said to be a “longest bull market in history” as the S&P 500 completed its 120th month of bull market since turning bullish exactly 10 years ago. While there were no popcorn to celebrate the occasion neither is there any champagne toasting, the milestone was indeed a memorable one as the S&P 500 had two near misses that could have ended the spectacular run during this extraordinary 10-year period.Now into the 11th year, the S&P 500 is in an unprecedented and uncharted waters as far as the length of this bull run is concerned and in the process has provided some 401% in total returns over the 10-year period or about 17.5% annualised rate."
https://www.thestar.com.my/business/business-news/2019/03/16/mubadala-halts-business-with-goldman-amid-lawsuit/,Mubadala halts business with Goldman amid lawsuit,Business News,"Saturday, 16 Mar 2019",,"DUBAI: Abu Dhabi state investor Mubadala has suspended new business dealings with Goldman Sachs since its subsidiary filed a lawsuit in November against the US bank and others to recover losses suffered through its dealings with 1Malaysia Development Bhd (1MDB).“We have suspended any activities with Goldman Sachs pending outcome of the litigation,” Brian Lott, spokesman of Mubadala Investment Co, said in response to questions from Reuters."
https://www.thestar.com.my/business/business-news/2019/03/15/ringgit-lower-against-us$/,Ringgit lower against US$ despite better than expected local data,Forex,"Friday, 15 Mar 2019",10:12 AM MYT,"KUALA LUMPUR: The ringgit extended Thursday's downtrend to be lower against the US dollar early Friday as the greenback strengthened amid talks of delay to US-China summit, offsetting several better-than-expected Malaysia economic data.At 9 am (0100 gmt), the ringgit stood at 4.0900/0940 against the US dollar from 4.0890/0940 at the close Thursday."
https://www.thestar.com.my/business/business-news/2019/03/15/teresa-kok-blasts-eus-palm-oil-decision-based-on-politics-of-protectionism/,Teresa Kok blasts EU's palm oil decision based on 'politics of protectionism',Plantations,"Friday, 15 Mar 2019",10:26 AM MYT,"KUALA LUMPUR:  The Primary Industries Minister ripped apart the European Union's (EU) delegated act on the use of palm oil in biofuels, accusing the process as based on “politics  of protectionism”.Teresa Kok said on Friday she opposed the EU decision which classified  palm oil as “high risk”."
https://www.thestar.com.my/business/business-news/2019/03/15/japan-court-hands-mt-gox-bitcoin-founder-two-and-a-half-years-suspended-sentence/,Japan court hands Mt. Gox bitcoin exchange founder 2-1/2 years suspended sentence,Cryptocurrency,"Friday, 15 Mar 2019",10:30 AM MYT,"TOKYO: A Tokyo court on Friday handed the founder of the now-defunct Mt. Gox bitcoin currency exchange a 2-1/2-year suspended sentence for his role in the loss of hundreds of millions of dollars worth of bitcoins and cash, Kyodo news agency reported."
https://www.thestar.com.my/business/business-news/2019/03/15/aminvest-research-retains-underweight-for-econpile-cuts-fv/,"AmInvest Research retains Underweight for Econpile, cuts FV",Analyst Reports,"Friday, 15 Mar 2019",11:14 AM MYT,"KUALA LUMPUR: AmInvestment Research maintained its Underweight call and forecasts for piling contractor Econpile but cut its fair value by 19% to 22 sen from 27 sen due to the weak propsects for property-related jobs.The research house said on Friday it valued Econpile at its end-FY18 net tangible asset (NTA), adjusted for a worst-case impairment of RM80.1mil (from eight times forward earnings previously)."
https://www.thestar.com.my/business/business-news/2019/03/15/aminvest-research-upgrades-sapura-energy-to-buy-ups-target-price-to-50c/,"AmInvest Research upgrades Sapura Energy to Buy, ups target price to 50c",Analyst Reports,"Friday, 15 Mar 2019",11:32 AM MYT,"KUALA LUMPUR: AmInvestment Research upgraded its call on Sapura Energy  (Sapura) to Buy from Hold with a higher fair value of 50 sen a share from an earlier 30 sen.The research house said on Friday this was based on a lower 30% discount to its estimated diluted book value of 72 sen a share, following the completion of its RM4bil rights issue."
https://www.thestar.com.my/business/business-news/2019/03/15/premier-says-china-can-use-reserve-requirements-interest-rates-to-support-economy/,"Premier says China can use reserve requirements, interest rates to support economy",Economy,"Friday, 15 Mar 2019",12:21 PM MYT,"BEIJING: China can use reserve requirements and interest rates to support economic growth, Premier Li Keqiang said on Friday, promising efforts to prevent a sharper deceleration as the world's second-biggest economy expands at its slowest pace in almost three decades.Li's comments suggest Beijing will roll out more stimulus measures to ease the strain on businesses and consumers. China has already flagged billions of dollars in planned tax cuts and infrastructure spending, as economic momentum is expected to cool further due to softer domestic demand and a trade war with the United States."
https://www.thestar.com.my/business/business-news/2019/03/15/asia-stocks-push-higher-dollar-treasuries-steady/,"Asia stocks push higher, dollar, treasuries steady",Markets,"Friday, 15 Mar 2019",12:23 PM MYT,"SYDNEY: Most Asian stocks traded higher Friday despite a lackluster session for U.S. shares amid concerns over a delayed Sino-American trade deal. Treasuries steadied and the dollar held gains.Equities in Japan and China outperformed, with modest gains seen in Hong Kong. Earlier, the S&P 500 spent most of the session fluctuating between gains and losses in thin trading, before edging lower at the close."
https://www.thestar.com.my/business/business-news/2019/03/15/ram-ratings-reaffirms-ytl-corps-ratings-for-its-debt-notes/,RAM reaffirms YTL Corp's debt notes ratings,Corporate News,"Friday, 15 Mar 2019",12:53 PM MYT,KUALA LUMPUR: RAM Ratings has reaffirmed the AA1/Stable ratings of YTL Corporation Bhd ’s RM500mil medium term notes (MTN) programme (2004/2019) and RM2bil MTN programme (2013/2038).It said on Friday the reaffirmation of the ratings is supported by the ongoing stream of dividend payments from YTL Corp’s operating entities to service its company-level debts.
https://www.thestar.com.my/business/business-news/2019/03/15/mild-pick-up-on-the-klci-amid-trade-noise/,Mild pick up on the KLCI amid trade noise,Markets,"Friday, 15 Mar 2019",1:02 PM MYT,"KUALA LUMPUR: The FBM KLCI picked up slightly in the morning session as it looked set to end the week along a tight sideways channel.At 12.30pm, the FBM KLCI was up 2.57 points to 1,677.09. Trading volume was 2.6 billion shares valued at RM997.76mil."
https://www.thestar.com.my/business/business-news/2019/03/15/hdc-remains-optimistic-of-rm50bil-halal-export-by-2020/,HDC remains optimistic of RM50bil halal export by 2020,Corporate News,"Friday, 15 Mar 2019",2:29 PM MYT,"PETALING JAYA: Halal Industry Development Corporation (HDC) remained optimistic of hitting RM50 billion export target by 2020, despite recording a lower halal export of RM40 billion last year, says vice president Hanisofian Alias.He said the target would be supported by intensifying export in value added products with India being the new focus country."
https://www.thestar.com.my/business/business-news/2019/03/15/texchem-to-dispose-of-51pct-stake-in-acumen-scientific-for-rm4pt28m/,Texchem to dispose of 51% stake in Acumen Scientific for RM4.28m,Corporate News,"Friday, 15 Mar 2019",2:58 PM MYT,"KUALA LUMPUR: Texchem Resources Bhd  has entered into a share purchase agreement and shareholders' agreement with a US-based company to dispose of 51% stake in Acumen Scientific Sdn Bhd for RM4.28mil.In a filing with the stock exchange, Texchem said the sale to Merieux Nutrisciences Corp was to dispose of a non-core operating subsidiary while unlocking the value of its investment in the company."
https://www.thestar.com.my/business/business-news/2019/03/15/australia-anz-to-give-longer-interest-only-loans-to-revive-property-investor-business/,Australia’s ANZ to give longer interest-only loans to revive property investor business,Banking,"Friday, 15 Mar 2019",3:00 PM MYT,"SYDNEY: Australia and New Zealand Banking Group will offer interest-only loans for up to 10 years to property investors, as it tries to fuel business amid softening economic conditions.From April 25, Australia’s third largest lender will extend the period of interest-only loans - which do not require principal repayments - to property investors by 5 years to a decade, and will increase the size of the loans to up to 90 percent of the property’s value, the bank told clients in a memo seen by Reuters."
https://www.thestar.com.my/business/business-news/2019/03/15/boj-takes-dimmer-view-of-economy-while-keeping-policy-unchanged/,BOJ takes dimmer view of economy while keeping policy unchanged,Economy,"Friday, 15 Mar 2019",3:08 PM MYT,"TOKYO: The Bank of Japan left its monetary stimulus program unchanged as it downgraded its assessment of exports, factory output and overseas economies.The BOJ’s decision to maintain its policy interest rates and asset purchases was predicted by all 46 experts surveyed by Bloomberg. Its gloomier take on the economy was also largely expected after a raft of weak data over the past month."
